Score,2018 Percentile,2017 Percentile,2016 Percentile
800,99+,99+,99+
790,99,99,99
780,98,99,98
770,98,99,98
760,97,98,98
750,96,97,97
740,96,97,96
730,95,96,95
720,94,95,95
710,93,94,94
700,92,94,92
690,91,92,91
680,89,91,89
670,88,89,88
660,86,88,87
650,85,86,86
640,83,84,83
630,81,82,81
620,79,81,79
610,77,78,76
600,75,76,73
590,72,73,70
580,69,70,67
570,66,67,64
560,64,65,60
550,61,61,57
540,57,58,53
530,53,54,49
520,49,49,45
510,44,45,40
500,40,40,34
490,37,37,30
480,34,34,27
470,31,32,24
460,28,29,21
450,25,25,18
440,22,22,16
430,20,20,14
420,17,17,12
410,15,14,10
400,13,12,8
390,11,10,7
380,9,8,5
370,7,7,4
360,6,5,3
350,4,4,3
340,3,3,2
330,2,2,1
320,1,1,1
310,1,1,1
300,1,1,1
290,1,1-,1-
280,1-,1-,1-
270,1-,1-,1-
260,1-,1-,1-
250,1-,1-,1-
240,1-,1-,1-
230,1-,1-,1-
220,1-,1-,1-
210,1-,1-,1-
200,1-,1-,1-
